Timestamp,Coffee,Sleep
3/24/2023 9:59:09,Yes,4
3/24/2023 10:09:26,Yes,5
3/24/2023 10:24:51,Yes,2
3/24/2023 12:38:25,Yes,6
3/24/2023 13:31:35,Yes,4
4/3/2023 9:27:23,Yes,5
4/3/2023 9:30:44,No,6
4/3/2023 9:30:45,Yes,6
4/3/2023 9:32:56,No,7
4/3/2023 9:34:01,No,5
4/3/2023 9:35:01,No,7
4/3/2023 9:35:09,Yes,8
4/3/2023 9:36:17,No,7
4/3/2023 9:37:08,Yes,2
4/3/2023 9:41:05,No,8
4/3/2023 9:41:21,No,7
4/3/2023 9:54:52,No,8
4/3/2023 9:57:03,No,6
4/3/2023 9:57:39,Yes,6
4/3/2023 10:01:06,No,6
4/3/2023 10:04:10,No,8
4/3/2023 10:06:30,Yes,8
4/3/2023 10:13:35,Yes,7.5
4/3/2023 10:15:39,Yes,8
4/3/2023 10:18:37,No,7
4/3/2023 10:19:09,Yes,8
4/3/2023 10:19:47,Yes,7
4/3/2023 10:20:55,No,8
4/3/2023 10:27:25,Yes,7
4/3/2023 10:30:48,No,6
4/3/2023 10:36:50,Yes,8
4/3/2023 10:39:53,No,7
4/3/2023 10:57:20,Yes,7
4/3/2023 10:58:03,No,8
4/3/2023 11:04:38,No,7
4/3/2023 11:06:52,Yes,9
4/3/2023 11:26:09,No,7.7
4/3/2023 11:30:02,Yes,8
4/3/2023 11:33:27,No,6
4/3/2023 11:37:20,Yes,4
4/3/2023 11:40:18,No,9
4/3/2023 11:56:37,No,8
4/3/2023 12:01:20,Yes,4.5
4/3/2023 12:04:38,No,8
4/3/2023 12:06:41,Yes,11
4/3/2023 12:11:39,Yes,8
4/3/2023 12:14:04,No,7
4/3/2023 12:18:58,Yes,7
4/3/2023 12:40:49,Yes,6
4/3/2023 13:17:29,No,7
4/3/2023 13:20:24,Yes,4
4/3/2023 13:40:51,No,6
4/3/2023 13:45:44,No,5
4/3/2023 14:07:19,Yes,9
4/3/2023 14:07:21,Yes,9
4/3/2023 14:07:22,Yes,5
4/3/2023 14:21:35,No,4
4/3/2023 14:56:59,No,8
4/3/2023 15:32:27,No,10
4/3/2023 15:46:00,Yes,10
4/3/2023 15:47:22,Yes,3
4/3/2023 15:55:45,Yes,3.5
4/3/2023 16:02:44,Yes,5
4/3/2023 16:04:10,Yes,5
4/3/2023 16:15:36,Yes,6
4/3/2023 16:23:18,No,7
4/3/2023 16:23:39,No,7
4/3/2023 16:37:23,Yes,9
4/3/2023 17:04:47,Yes,6
4/3/2023 18:41:27,Yes,6
4/3/2023 18:57:57,No,7
4/3/2023 19:35:10,No,8
4/3/2023 19:35:40,Yes,7
4/3/2023 19:43:48,No,5
4/3/2023 19:43:55,No,8
4/3/2023 19:44:03,No,9
4/3/2023 19:44:09,Yes,9
4/3/2023 19:44:16,Yes,2
4/3/2023 19:44:24,Yes,3
4/3/2023 20:34:17,Yes,7
4/3/2023 22:01:51,Yes,7
4/3/2023 22:01:57,No,8
4/3/2023 22:02:02,Yes,9
4/3/2023 22:03:41,No,8
4/3/2023 22:03:45,Yes,6
4/3/2023 22:03:49,Yes,5
4/3/2023 22:04:10,Yes,4
4/3/2023 22:05:10,Yes,5
4/3/2023 22:05:16,Yes,3
4/3/2023 22:05:20,No,7
4/3/2023 22:05:25,No,8
4/3/2023 22:05:29,Yes,3
4/3/2023 22:05:34,Yes,5
4/3/2023 22:05:37,No,5
4/3/2023 22:05:42,Yes,6
4/3/2023 22:05:47,No,8
4/3/2023 22:05:52,Yes,7
4/3/2023 22:05:56,Yes,5
4/3/2023 22:07:33,No,7
4/3/2023 22:07:36,Yes,9
4/3/2023 22:07:41,No,9
4/3/2023 22:07:47,Yes,4
4/3/2023 22:07:50,Yes,6
4/3/2023 22:07:55,Yes,5
